DayNum,Day,Backend Focus,Activities,Focus,MergedTopics,DetailedTasks,TimeBlocks
20,Day 20,,Orchestrate reserve→charge→confirm with compensations; DLQ replay,Saga/Orchestration,Saga/Orchestration,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
21,Day 21,,Split command & query; read model denormalization; eventual consistency demo,CQRS,CQRS,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Design patterns: Strategy/Factory/Adapter/Decorator/Repository/CQRS; code snippet + trade‑offs + pitfalls.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
22,Day 22,,Ports & Adapters; replace partner provider via DI; integration tests,Hexagonal,Hexagonal,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
23,Day 23,,Compose filters; compare with simple query approach,Repository + Specification,Repository + Specification,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Design patterns: Strategy/Factory/Adapter/Decorator/Repository/CQRS; code snippet + trade‑offs + pitfalls.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
24,Day 24,,AuthZ policies; signed URLs; audit logging; secrets hygiene,Security (OWASP),Security (OWASP),BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
25,Day 25,,APM traces; OpenTelemetry; queue lag metrics; SLOs & alerts,Observability Deep Dive,Observability Deep Dive,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
26,Day 26,,Profile N+1; EXPLAIN; cache hit ratio; FE render profiling,Performance Lab,Performance Lab,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
27,Day 27,,"Server data, client islands; Suspense boundaries; bundle analysis",RSC & Streaming,RSC & Streaming,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
28,Day 28,,"Contract tests, property-based tests, Pact-like consumer tests",Testing Advanced,Testing Advanced,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | Testing: write unit + integration tests; measure coverage; fix 1 flaky test.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
29,Day 29,,"Feature flags, migrations safety, blue/green; incident drills",Ops & Releases,Ops & Releases,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
30,Day 30,,Build mini system: import→process→export with patterns & dashboards,Capstone,Capstone,BE 2–3h: implement 1 feature or refactor; 2 LeetCode (E/M); write unit tests; summarize learnings. | FE 2h: extend a React component/page; add tests; check a11y; document decisions. | English 1–1.5h: shadow 15‑20 min; mock interview Q&A; record & review. | General: revise yesterday’s notes; list 3 gaps; plan tomorrow’s spike.,08:00‑10:30 BE | 10:45‑12:45 FE | 14:00‑15:30 English | 16:00‑16:30 Review & notes
